id,Price
300000,90.43151
300001,88.22099
300002,87.25591
300003,89.27036
300004,79.14372
300005,77.03525
300006,85.804794
300007,87.52484
300008,82.42811
300009,83.22215
300010,86.09431
300011,78.82998
300012,82.71244
300013,84.08876
300014,81.97988
300015,85.425575
300016,90.89653
300017,78.15017
300018,79.99069
300019,89.672646
300020,92.38744
300021,86.38334
300022,79.15006
300023,78.612404
300024,90.16056
300025,83.52594
300026,81.725815
300027,76.49856
300028,82.336136
300029,83.35156
300030,88.54976
300031,81.93784
300032,87.52228
300033,85.36455
300034,84.3095
300035,75.63721
300036,79.598595
300037,85.23681
300038,81.08821
300039,86.19427
300040,80.4883
300041,76.261314
300042,87.46257
300043,81.251976
300044,85.096825
300045,78.42586
300046,83.671135
300047,86.7605
300048,91.484116
300049,79.7517
300050,88.97689
300051,88.46049
300052,88.57961
300053,83.40479
300054,90.12954
300055,76.402725
300056,84.757385
300057,74.47646
300058,89.12962
300059,88.14685
300060,83.29021
300061,86.67772
300062,83.18965
300063,82.580605
300064,84.06659
300065,77.78154
300066,81.84258
300067,79.784706
300068,85.39703
300069,77.74579
300070,80.7665
300071,86.725815
300072,80.18457
300073,81.878944
300074,81.64313
300075,75.07608
300076,76.39473
300077,80.28158
300078,92.50248
300079,75.35636
300080,79.856544
300081,90.957405
300082,79.058395
300083,79.33876
300084,72.760185
300085,84.19862
300086,81.51946
300087,79.12545
300088,86.847946
300089,88.689896
300090,75.12837
300091,79.2244
300092,80.54472
300093,88.911194
300094,78.87842
300095,80.640076
300096,80.142296
300097,82.82295
300098,90.24913
300099,88.65127
300100,86.20961
300101,91.08754
300102,90.30604
300103,84.37639
300104,81.48595
300105,92.96962
300106,82.242035
300107,79.192764
300108,82.40078
300109,77.40285
300110,80.12703
300111,79.66705
300112,78.230316
300113,90.0505
300114,82.72573
300115,82.13155
300116,88.89701
300117,86.155594
300118,75.94313
300119,81.9262
300120,76.1902
300121,88.55234
300122,76.41246
300123,77.6947
300124,89.344696
300125,82.552956
300126,87.15486
300127,85.028946
300128,87.63873
300129,84.859886
300130,83.310036
300131,80.37949
300132,80.26863
300133,75.26033
300134,79.647484
300135,83.63188
300136,80.71266
300137,76.66207
300138,79.72854
300139,77.04634
300140,81.58866
300141,80.053604
300142,87.30351
300143,89.81587
300144,76.57066
300145,80.19786
300146,82.74324
300147,82.46727
300148,83.912224
300149,89.32657
300150,92.347534
300151,80.259834
300152,76.32215
300153,76.42182
300154,75.12082
300155,79.34831
300156,88.261925
300157,78.85372
300158,83.40143
300159,94.93791
300160,81.075455
300161,78.27718
300162,80.09278
300163,80.82854
300164,85.39323
300165,81.97185
300166,82.74223
300167,81.6098
300168,81.66155
300169,78.14984
300170,80.68124
300171,91.36077
300172,80.2933
300173,88.42773
300174,83.058044
300175,77.10701
300176,87.73893
300177,80.66554
300178,82.45749
300179,89.84778
300180,90.17234
300181,85.69547
300182,84.694595
300183,81.03102
300184,96.46983
300185,82.29754
300186,81.4438
300187,87.66901
300188,76.124115
300189,88.45451
300190,75.83667
300191,88.82185
300192,83.022644
300193,86.626076
300194,77.84071
300195,89.384155
300196,83.17204
300197,74.629364
300198,77.30876
300199,83.24474
300200,75.95036
300201,94.15643
300202,84.34917
300203,78.52244
300204,80.576294
300205,82.61471
300206,86.463776
300207,79.917786
300208,79.94259
300209,82.29157
300210,77.98372
300211,79.693054
300212,78.39657
300213,87.799065
300214,88.268
300215,75.64951
